(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 401 - Length 2002	Prob 0.000000e+00
Path 402 - Length 7896	Prob 0.000000e+00
Path 403 - Length 5570	Prob 0.000000e+00
Path 404 - Length 542	Prob 3.679948e-170
Path 405 - Length 1806	Prob 0.000000e+00
Path 406 - Length 15370	Prob 0.000000e+00
Path 407 - Length 3008	Prob 0.000000e+00
Path 408 - Length 932	Prob 1.189076e-291
Path 409 - Length 2468	Prob 0.000000e+00
Path 410 - Length 1712	Prob 0.000000e+00
Path 411 - Length 5492	Prob 0.000000e+00
Path 412 - Length 280	Prob 6.540449e-91
Path 413 - Length 3688	Prob 0.000000e+00
Path 414 - Length 16344	Prob 0.000000e+00
Path 415 - Length 2196	Prob 0.000000e+00
Path 416 - Length 870	Prob 7.012947e-273
Path 417 - Length 7034	Prob 0.000000e+00
Path 418 - Length 8976	Prob 0.000000e+00
Path 419 - Length 3178	Prob 0.000000e+00
Path 420 - Length 1506	Prob 0.000000e+00
Path 421 - Length 552	Prob 1.318476e-174
Path 422 - Length 4720	Prob 0.000000e+00
Path 423 - Length 492	Prob 5.246315e-153
Path 424 - Length 17942	Prob 0.000000e+00
Path 425 - Length 2340	Prob 0.000000e+00
Path 426 - Length 8660	Prob 0.000000e+00
Path 427 - Length 16166	Prob 0.000000e+00
Path 428 - Length 3860	Prob 0.000000e+00
Path 429 - Length 13796	Prob 0.000000e+00
Path 430 - Length 5094	Prob 0.000000e+00
Path 431 - Length 6420	Prob 0.000000e+00
Path 432 - Length 482	Prob 3.409692e-150
Path 433 - Length 546	Prob 3.845315e-173
Path 434 - Length 2380	Prob 0.000000e+00
Path 435 - Length 31254	Prob 0.000000e+00
Path 436 - Length 2618	Prob 0.000000e+00
Path 437 - Length 1328	Prob 0.000000e+00
Path 438 - Length 984	Prob 1.252523e-305
Path 439 - Length 1254	Prob 0.000000e+00
